claimID,employer,employercity,employerstate,employerzip,gender,hispanic,asian,claim_amount,case_open,valid,invalid,verified_claim,case_close,first_response,formal_investigate,wage_order,total_rec,wage_rec,duration
LLVA62739,NO BUSINESS NAME GIVEN,NA,NA,NA,male,FALSE,FALSE,0,2018-06-27,FALSE,FALSE,0,2018-06-27,FALSE,FALSE,FALSE,0,0,0
LLVA62740,TIDE WATER STAFFING,PORTSMOUTH,VA,23707,female,FALSE,FALSE,210.25,2018-07-09,FALSE,FALSE,0,2018-07-09,FALSE,FALSE,FALSE,0,0,0
LLVA62741,GLOBAL SECURITY ASSOCIATES,GARDEN CITY,NY,11530,male,FALSE,FALSE,14700,2018-07-02,FALSE,FALSE,0,2018-07-02,FALSE,FALSE,FALSE,0,0,0
LLVA62742,GUARDUS SECURITY,VIRGINIA BEACH,VA,23452,male,FALSE,FALSE,2000,2018-07-09,FALSE,FALSE,0,2018-08-10,FALSE,FALSE,FALSE,0,0,32
LLVA62743,TRIWIRE,FREDERICKSBURG,VA,22406,male,FALSE,FALSE,950.52,2018-07-13,FALSE,FALSE,812.25,2018-09-20,FALSE,FALSE,FALSE,0,0,69
LLVA62744,"STRATEGIC E-BUSINESS SOLUTIONS, INC.",GAITHERSBURG,MD,20882,female,FALSE,FALSE,1479.16,2018-07-02,FALSE,FALSE,0,2018-07-02,FALSE,FALSE,FALSE,0,0,0
LLVA62747,MS. BETTY'S LITTLE PAWS,WINCHESTER,VA,22601,female,FALSE,FALSE,700,2018-07-13,FALSE,FALSE,0,2018-07-24,FALSE,FALSE,FALSE,0,0,11
LLVA62748,AR GREEN TRANSPORTS,NEWPORT NEWS,VA,23663,male,FALSE,FALSE,750,2018-07-31,FALSE,FALSE,0,2018-09-27,FALSE,FALSE,FALSE,0,0,58
LLVA62749,COLEMAN'S LANDSCAPING,WYTHEVILLE,VA,24382,male,FALSE,FALSE,470,2018-07-09,FALSE,FALSE,0,2018-08-21,FALSE,FALSE,FALSE,0,0,43
LLVA62750,COMMUNITY COUNSELING RESOURCES,PORTSMOUTH,VA,23704,female,FALSE,FALSE,1584,2018-07-09,FALSE,FALSE,804,2018-09-21,FALSE,FALSE,FALSE,0,0,74
